sort_order,asset_code,display_name,zone,asset_type,has_robot,location_detail,plant_group
1,850T-16,850T-16,A1,INJECTION,YES,Zone A1,
2,850T-17,850T-17,A1,INJECTION,YES,Zone A1,
3,850T-18,850T-18,A1,INJECTION,YES,Zone A1,
4,650T-1,650T-1,A1,INJECTION,YES,Zone A1,
5,650T-2,650T-2,A1,INJECTION,YES,Zone A1,
6,650T-3,650T-3,A1,INJECTION,YES,Zone A1,
7,650T-4,650T-4,A1,INJECTION,YES,Zone A1,
8,650T-5,650T-5,A1,INJECTION,YES,Zone A1,
9,650T-6,650T-6,A1,INJECTION,YES,Zone A1,
10,650T-7,650T-7,A2,INJECTION,YES,Zone A2,
11,650T-8,650T-8,A2,INJECTION,YES,Zone A2,
12,650T-9,650T-9,A2,INJECTION,YES,Zone A2,
13,650T-10,650T-10,A2,INJECTION,YES,Zone A2,
14,650T-11,650T-11,A2,INJECTION,YES,Zone A2,
15,650T-12,650T-12,A2,INJECTION,YES,Zone A2,
16,650T-13,650T-13,A2,INJECTION,YES,Zone A2,
17,650T-14,650T-14,A2,INJECTION,YES,Zone A2,
18,650T-15,650T-15,A2,INJECTION,YES,Zone A2,
19,350T-1,350T-1,A3,INJECTION,YES,Zone A3,
20,350T-2,350T-2,A3,INJECTION,YES,Zone A3,
21,350T-3,350T-3,A3,INJECTION,YES,Zone A3,
22,350T-4,350T-4,A3,INJECTION,YES,Zone A3,
23,350T-5,350T-5,A3,INJECTION,YES,Zone A3,
24,350T-6,350T-6,A3,INJECTION,YES,Zone A3,
25,350T-7,350T-7,A3,INJECTION,YES,Zone A3,
26,350T-8,350T-8,A3,INJECTION,YES,Zone A3,
27,350T-9,350T-9,A3,INJECTION,YES,Zone A3,
28,350T-10,350T-10,A3,INJECTION,YES,Zone A3,
29,230T-3,230T-3,A3,INJECTION,NO,Zone A3,
30,230T-4,230T-4,A3,INJECTION,NO,Zone A3,
31,230T-5,230T-5,A3,INJECTION,NO,Zone A3,
32,75T-4,75T-4,A3,INJECTION,NO,Zone A3,
33,75T-5,75T-5,A3,INJECTION,NO,Zone A3,
34,450T-7,450T-7,A4,INJECTION,YES,Zone A4,
35,650T-16,650T-16,A4,INJECTION,YES,Zone A4,
36,650T-17,650T-17,A4,INJECTION,YES,Zone A4,
37,650T-18,650T-18,A4,INJECTION,YES,Zone A4,
38,650T-19,650T-19,A4,INJECTION,YES,Zone A4,
39,650T-20,650T-20,A4,INJECTION,YES,Zone A4,
40,650T-21,650T-21,A4,INJECTION,YES,Zone A4,
41,650T-22,650T-22,A4,INJECTION,YES,Zone A4,
42,650T-23,650T-23,A4,INJECTION,YES,Zone A4,
43,500T-1,500T-1,A4,INJECTION,YES,Zone A4,
44,500T-2,500T-2,A4,INJECTION,YES,Zone A4,
45,500T-3,500T-3,A4,INJECTION,YES,Zone A4,
46,320T-1,320T-1,A4,INJECTION,YES,Zone A4,
47,320T-2,320T-2,A4,INJECTION,YES,Zone A4,
48,320T-3,320T-3,A4,INJECTION,YES,Zone A4,
49,320T-4,320T-4,A4,INJECTION,YES,Zone A4,
50,320T-5,320T-5,A4,INJECTION,YES,Zone A4,
51,320T-6,320T-6,A4,INJECTION,YES,Zone A4,
52,320T-7,320T-7,A4,INJECTION,YES,Zone A4,
53,320T-8,320T-8,A4,INJECTION,YES,Zone A4,
54,CRANE-01,Crane No.1,A1,CRANE,NO,Zone A1,
55,CRANE-02,Crane No.2,A2,CRANE,NO,Zone A2,
56,CRANE-03,Crane No.3,A3,CRANE,NO,Zone A3,
57,CRANE-04,Crane No.4,A4,CRANE,NO,Zone A4 · 650T-16 to 650T-23,
58,CRANE-05,Crane No.5,A4,CRANE,NO,Zone A4 · Behind material suction room,
59,CRANE-06,Crane No.6,A4,CRANE,NO,Zone A4 · 500T-1 to 320T-8,
60,VP-OLD-01,Vacuum Pump No.1 (Old Plant),UTILITY,VACUUM_PUMP,NO,Old Plant / โรงเก่า,OLD_PLANT
61,VP-OLD-02,Vacuum Pump No.2 (Old Plant),UTILITY,VACUUM_PUMP,NO,Old Plant / โรงเก่า,OLD_PLANT
62,VP-OLD-03,Vacuum Pump No.3 (Old Plant),UTILITY,VACUUM_PUMP,NO,Old Plant / โรงเก่า,OLD_PLANT
63,VP-NEW-01,Vacuum Pump No.1 (New Plant),UTILITY,VACUUM_PUMP,NO,New Plant / โรงใหม่,NEW_PLANT
64,VP-NEW-02,Vacuum Pump No.2 (New Plant),UTILITY,VACUUM_PUMP,NO,New Plant / โรงใหม่,NEW_PLANT
65,VP-NEW-03,Vacuum Pump No.3 (New Plant),UTILITY,VACUUM_PUMP,NO,New Plant / โรงใหม่,NEW_PLANT
66,VP-NEW-04,Vacuum Pump No.4 (New Plant),UTILITY,VACUUM_PUMP,NO,New Plant / โรงใหม่,NEW_PLANT
67,VP-NEW-05,Vacuum Pump No.5 (New Plant),UTILITY,VACUUM_PUMP,NO,New Plant / โรงใหม่,NEW_PLANT
68,VP-NEW-06,Vacuum Pump No.6 (New Plant),UTILITY,VACUUM_PUMP,NO,New Plant / โรงใหม่,NEW_PLANT
